"","j1","j2","j3","j4","j5","j6","j7","j8","j9","j10","j11","j12","j13","j14","j15","j16","j17","j18","j19","j20","j21","j22","j23","j24","j25","j26","j27","j28","j29","j30","j31","j32","j33","j34","j35","j36","j37","j38","j39","j40","j41","j42","j43","j44","j45","j46","j47","j48","j49","j50","j51","j52","j53","j54","j55","j56","j57","j58","j59","j60","j61","j62","j63","j64","j65","j66","j67","j68","j69","j70","j71","j72","j73","j74","j75","j76","j77","j78","j79","j80","j81","j82","j83","j84","j85","j86","j87","j88","j89","j90","j91","j92","j93","j94","j95","j96","j97","j98","j99","j100"
"u14349",-9.47,6.02,-9.61,2.38,-9.66,-0.05,9.27,-9.85,-9.51,-5.34,-9.51,-4.76,6.65,8.83,-7.91,-9.76,9.17,-9.76,-9.85,-9.22,8.4,7.04,-9.27,-9.51,9.08,9.13,9.13,-9.51,9.17,-8.93,-9.47,-8.01,-9.32,7.23,3.25,-7.48,-4.56,-9.66,6.94,-9.32,6.5,8.01,-9.56,-9.47,-4.51,9.13,-9.27,-9.56,3.25,6.55,8.64,6.8,0.53,4.71,-9.56,6.31,-9.51,-3.79,-9.76,-1.21,-4.13,-1.02,-5.78,-9.51,5.63,-9.22,7.23,-9.32,-0.05,-9.47,-9.56,9.22,-9.81,5.78,9.17,-9.85,-9.76,-9.85,-9.81,-9.85,9.32,9.22,9.17,-9.47,8.98,-9.37,-9.32,-9.56,-9.71,-9.56,-9.81,-9.66,-9.9,-9.66,-9.61,-9.61,-9.76,8.45,-9.71,9.17
"u21",2.57,-0.73,NA,NA,2.57,NA,-4.22,2.67,NA,-1.31,0.73,NA,-3.45,-0.53,-5.1,-0.44,-2.28,2.57,-5.39,-0.44,-1.46,-8.88,0.73,NA,0.97,NA,-0.53,-2.96,3.64,NA,0.87,3.35,NA,NA,1.5,3.54,-0.63,-0.78,-0.44,-0.63,NA,-1.41,-4.81,NA,0.73,-0.39,0.73,-0.19,-0.97,3.64,-3.35,NA,0.39,-1.94,-1.31,1.07,NA,-6.26,-0.53,NA,-0.15,1.41,0.05,NA,0.83,-0.83,NA,0.1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,NA,1.31,NA,NA,NA,NA,1.02,NA,NA,NA
"u11736",NA,NA,NA,NA,3.16,NA,5.34,4.47,NA,NA,4.51,1.7,-0.73,NA,-7.57,2.57,-0.39,1.89,-1.07,-7.28,-0.58,NA,NA,NA,NA,2.48,2.91,NA,3.25,NA,-0.29,-4.61,NA,NA,2.38,2.28,NA,NA,NA,NA,NA,1.26,3.01,NA,NA,NA,NA,-0.78,-3.45,-1.65,NA,NA,4.03,2.86,NA,5.34,NA,NA,NA,NA,3.93,0.44,NA,NA,1.94,2.14,NA,1.94,4.9,NA,NA,NA,NA,2.72,NA,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05,NA,NA,NA,NA
"u15885",4.17,7.48,-0.1,-0.87,-0.29,-0.1,4.56,6.7,-0.29,8.83,8.64,-0.29,7.28,7.28,8.45,8.83,3.01,4.17,0.68,-4.76,3.01,7.28,-0.29,-0.49,5.73,8.64,6.7,7.28,8.83,-0.29,5.73,8.06,6.5,5.92,8.83,4.17,2.04,8.64,-0.29,1.46,-1.65,7.28,-0.29,0.29,0.49,8.83,-0.87,0.68,8.83,7.48,-1.65,0.68,8.83,5.73,-1.07,2.82,-3.2,-0.29,-0.29,2.62,8.45,4.17,-0.29,2.62,5.92,5.73,-1.26,4.17,8.64,-1.46,NA,NA,NA,NA,NA,NA,5.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15,NA,NA,NA,NA,NA,2.04,NA,NA,NA,NA
"u4864",NA,NA,NA,NA,-9.56,NA,-9.56,3.59,NA,NA,NA,NA,-2.09,4.71,4.03,-9.61,-0.34,-9.37,-6.89,-7.38,-9.08,NA,NA,NA,-9.08,-9.27,-2.82,-8.93,3.01,NA,-5.83,-9.08,NA,-8.59,4.85,-8.88,NA,NA,-9.08,NA,NA,-7.72,NA,NA,NA,-8.88,NA,-9.08,-9.27,-9.22,NA,NA,-9.32,-0.68,NA,-0.92,NA,NA,-4.32,NA,-8.74,-9.66,NA,NA,-9.71,3.54,NA,-8.64,-9.08,NA,NA,NA,NA,NA,-8.74,NA,NA,NA,NA,NA,NA,NA,NA,-8.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.74,NA
"u16104",-0.92,1.31,0.97,-1.21,-1.46,-3.5,-0.15,-4.08,0.92,7.62,2.82,-1.84,-1.26,-5.73,4.03,-8.2,-2.33,-4.66,-5.68,-7.72,-0.87,-2.62,-2.43,-3.11,-0.1,-2.52,-1.7,3.35,3.45,-3.45,4.22,3.64,-2.57,1.94,1.89,-2.72,-2.77,-3.25,-3.01,0.63,-3.35,1.07,1.6,-7.72,2.43,3.59,-3.83,-2.82,-1.6,0.63,-4.47,-3.25,1.21,5.63,-1.12,-2.38,-7.14,-9.22,-7.72,-1.12,2.82,2.18,-7.38,-1.02,-2.82,-0.1,-3.11,6.07,0.39,-3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44,-4.66,-6.94,0.68
"u13392",5.49,-6.84,8.98,NA,-0.68,5.78,-7.14,-9.51,NA,9.17,9.17,-0.68,-5.73,4.37,-8.16,-8.54,-7.91,-0.34,-1.12,-0.1,5.63,6.84,-3.3,6.94,1.89,1.89,2.77,5.83,-0.87,-0.92,6.8,-6.75,0.68,0.15,1.99,6.7,NA,-3.3,-5,8.98,-0.58,4.32,8.93,-0.29,-0.78,6.17,-5.34,-5.73,-0.78,-0.83,-0.53,6.36,7.82,1.89,-7.82,4.22,NA,NA,-5.92,-4.61,-2.82,1.5,-6.07,NA,1.7,-1.36,6.21,0,1.21,1.94,NA,NA,NA,NA,NA,-0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.49,NA,NA
"u18032",NA,NA,NA,NA,3.2,1.84,0.29,-9.42,NA,4.17,-0.29,4.56,-0.29,5.73,-7.86,-0.29,3.2,-0.29,2.23,-6.31,8.83,6.12,-0.29,NA,4.56,5.73,9.22,-7.86,5.34,-4.76,1.65,5.73,NA,7.48,7.86,4.37,NA,-0.29,8.45,-0.29,NA,5.73,NA,NA,-1.65,-0.29,1.84,4.17,7.28,7.28,NA,2.43,7.28,-4.76,NA,-6.31,4.17,NA,NA,NA,4.56,7.28,4.76,NA,8.83,-0.29,NA,5.73,-0.68,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37,NA,NA,NA,NA,NA,NA,7.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u9486",NA,NA,NA,NA,1.89,2.82,-3.45,-6.31,NA,NA,0.97,1.12,-6.07,-4.37,0.92,-4.71,-6.6,1.21,-0.58,1.07,-6.26,NA,NA,NA,NA,-4.37,2.57,2.91,-5.39,NA,-2.62,3.5,NA,2.28,-2.72,3.98,NA,5.73,-4.85,NA,NA,-1.17,NA,NA,2.14,2.67,3.35,2.04,1.55,0.19,NA,NA,-4.51,1.8,2.72,-3.98,NA,NA,NA,NA,2.62,3.01,NA,NA,0.97,2.91,NA,7.82,0.44,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03,NA,2.43,NA,NA,NA,NA,NA
"u20248",-5.53,7.48,-6.89,-5.63,7.48,7.52,-5.83,-5.83,7.14,-5.83,-5.83,-6.46,-6.84,7.82,-6.8,6.02,8.01,6.84,7.43,-6.02,6.02,-7.04,-5.83,-6.55,7.48,-6.99,5.73,-6.21,-5.97,-5.83,-5.97,-6.21,-5.83,-6.55,7.43,5.87,-5.83,-6.46,-6.36,-5.97,6.99,-5.68,-5.83,-5.83,-7.43,-5.83,-5.58,-5.92,6.02,5.87,-5.83,-5.83,-5.83,7.96,-5.83,6.46,-5.83,-6.7,7.48,-7.23,5.58,-5.83,-6.36,-6.5,7.57,7.72,-5.83,-6.55,-5.87,-6.55,-6.46,6.46,5.83,-6.12,-5.49,6.31,-5.58,6.21,7.62,7.77,6.5,7.52,6.6,8.64,-6.89,6.99,7.72,7.43,7.86,-6.36,7.14,7.23,7.28,6.99,-6.8,6.6,6.6,6.99,6.6,7.18
"u6025",NA,NA,NA,NA,-7.23,-4.47,-8.5,-6.7,NA,NA,NA,-0.73,-2.14,0.53,-9.37,-4.51,-5.73,-0.92,-1.84,4.56,-1.41,-2.04,NA,NA,-6.75,1.02,-3.16,-8.2,-9.9,-6.65,-3.11,-9.42,-8.01,-8.5,-0.39,-2.82,NA,-2.28,-7.43,-4.66,NA,-3.35,-7.38,-8.64,-4.27,2.96,-4.03,0.1,-0.29,-2.43,NA,NA,-2.82,-1.75,1.5,1.07,NA,NA,NA,-5.44,-0.87,-0.83,-1.94,NA,-2.91,-2.48,-4.71,-0.49,-8.16,-7.77,-9.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u21469",5.63,4.22,8.74,-9.76,2.43,4.17,2.52,-4.17,-9.76,-9.56,-0.58,-1.84,2.57,-3.64,-4.42,-9.22,-4.17,-9.56,3.45,-9.56,1.6,2.82,-9.47,-9.76,4.56,-3.06,0.68,-9.17,-1.12,-9.76,8.35,8.79,-9.76,-6.26,-9.51,3.98,-9.76,-8.06,-8.25,-0.97,2.96,8.45,-9.76,-9.76,5.68,-9.37,-0.29,-0.58,7.96,2.23,-9.27,-2.38,4.81,4.66,-9.42,-3.98,-9.76,NA,-9.76,-9.37,-9.47,-9.51,-3.74,-9.76,8.69,4.81,-9.76,-2.67,7.04,-9.42,-9.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.03,NA,NA,NA,NA,2.48,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"u16760",NA,NA,NA,NA,0.15,NA,-0.1,-5.1,NA,NA,-2.33,NA,0.92,NA,1.17,-5,-4.85,3.69,-1.55,-1.36,-5.44,-4.17,NA,NA,NA,-1.7,-3.16,NA,-0.68,NA,0.53,0.29,NA,NA,-3.88,3.4,NA,2.28,NA,-2.33,NA,-4.17,NA,NA,NA,NA,2.38,-1.84,-4.76,-6.94,NA,NA,-1.94,4.17,NA,-5.73,NA,NA,NA,NA,-0.05,-6.75,-5.05,NA,-0.49,-2.72,NA,-2.43,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA
"u22205",6.55,4.9,NA,NA,-9.32,2.52,-9.56,-0.34,NA,5,0.53,6.12,-0.34,6.94,-9.66,-9.42,-4.56,-0.34,-7.33,-9.71,5.68,7.62,0.92,NA,7.67,8.64,7.38,2.57,8.59,-2.18,2.23,4.51,NA,1.65,8.35,8.54,NA,2.04,-4.95,7.77,NA,-3.79,-9.47,NA,-0.1,1.94,-5.49,5.83,6.84,7.48,-3.54,-1.6,7.72,8.98,5.24,1.65,NA,NA,NA,NA,7.04,8.64,4.9,NA,7.77,8.79,2.91,6.89,5.34,-3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u8965",NA,NA,NA,NA,2.77,NA,1.41,-5.15,NA,0.19,0.29,5.83,-8.11,5.92,-7.86,-1.12,4.27,1.26,-2.57,-7.43,0.92,5.49,NA,NA,5.49,3.98,3.69,NA,4.17,NA,6.02,3.98,NA,6.84,1.07,6.99,NA,6.6,4.76,-2.18,NA,5.58,NA,NA,-8.06,1.65,5.83,1.84,4.17,5.83,NA,NA,6.5,2.33,NA,2.77,NA,NA,NA,NA,1.8,3.74,NA,NA,5.83,-3.98,-2.23,3.16,2.18,3.79,NA,NA,NA,-7.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18,NA,NA,NA,NA,NA,NA,NA,NA,3.93,NA,NA,5.29,NA,NA,NA,NA
"u14900",-5.63,-9.71,-9.47,4.22,-8.11,8.35,-9.81,5.73,-8.98,-9.13,-9.61,-8.93,6.99,7.57,7.18,6.55,5.34,-1.31,6.89,-7.28,-0.63,1.7,-9.27,-9.61,-4.66,-9.32,-0.73,8.74,-9.03,-9.22,-9.56,1.99,-9.51,-8.98,6.89,5.97,-9.32,-9.51,-0.44,-9.71,-9.81,7.86,-9.47,-9.37,-7.48,-9.17,-9.03,-9.42,-0.29,4.51,-9.27,-9.27,-9.56,-0.97,5.83,8.35,-9.37,-9.56,-8.25,-9.08,-9.22,0.05,-9.61,-9.32,-9.61,-9.17,-8.59,-9.13,-8.5,-8.2,3.45,4.32,-8.74,-9.22,-8.06,4.66,7.43,0.83,7.14,-9.66,2.96,7.91,-1.94,6.12,7.04,-9.32,-9.51,-8.83,7.38,4.76,-9.27,-9.47,6.12,7.23,2.62,6.07,2.77,-4.95,-3.74,-9.13
"u806",5.15,0.53,5.73,-7.91,3.01,-4.66,-5.29,3.79,-6.7,-0.29,4.81,-0.39,-0.34,3.11,3.69,-7.38,-5.29,2.57,6.94,6.94,3.06,5.19,-2.62,-7.52,4.81,3.25,7.38,6.6,9.27,-5.1,3.2,7.43,-7.28,-0.1,7.43,8.88,1.26,-5.83,3.83,-0.24,5.73,6.94,1.7,-3.16,-0.73,7.96,-3.35,1.41,6.65,6.84,-0.44,4.85,6.31,8.45,6.07,3.88,-7.04,-3.59,-4.71,-5.34,5.34,6.84,-4.03,3.59,8.93,3.16,-5.34,9.03,6.8,3.54,7.52,NA,NA,NA,NA,NA,NA,-0.24,NA,NA,NA,NA,NA,NA,NA,1.94,NA,NA,NA,NA,NA,4.42,NA,NA,NA,NA,NA,NA,NA,NA
"u15688",NA,NA,NA,NA,0.15,NA,6.8,-0.49,NA,NA,NA,6.99,1.07,NA,4.32,2.77,-1.12,5.1,4.61,7.18,5.63,8.35,NA,NA,NA,4.95,8.54,1.36,0.63,NA,-1.55,8.01,NA,7.52,2.52,8.83,NA,7.33,0.29,-2.62,NA,8.11,NA,NA,8.98,5.15,NA,-2.48,5.53,5.05,NA,NA,7.04,4.66,NA,-1.36,NA,NA,NA,NA,9.08,6.84,NA,NA,-4.71,-0.63,NA,1.7,8.93,3.59,-3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u97",3.54,-5,1.6,-3.25,-4.56,-2.23,-4.56,2.91,5.58,6.84,8.16,-0.92,-3.59,-4.13,1.8,-0.49,3.35,5.05,7.14,-1.12,4.61,-5.78,-1.41,3.4,-3.35,-5.73,-0.87,-1.17,8.5,-1.12,-0.53,0.34,6.55,-5.78,6.94,6.99,-5,-5.58,-4.42,4.32,5.05,3.4,2.38,-2.43,7.04,-7.14,5.53,1.84,7.09,5.44,-6.89,2.23,5.05,6.41,7.04,5.49,-4.22,-1.94,-5.58,1.6,7.33,7.23,-2.62,6.02,-6.75,3.69,6.02,-6.7,4.22,-4.71,-7.72,7.82,-0.44,-5.87,-4.27,8.79,-5.15,-4.47,7.52,-5.78,7.18,3.3,-5.53,-0.49,7.57,0.34,-5.1,7.91,8.69,-6.07,8.54,-6.02,7.62,3.93,-5.87,7.52,-4.08,8.25,-4.95,7.04
"u13984",NA,NA,NA,NA,7.86,-9.61,4.13,1.94,NA,5.78,1.84,-0.58,9.03,4.13,2.67,3.3,3.93,-0.44,-0.53,3.06,-9.32,5.19,-9.22,NA,-9.22,-9.32,3.16,-9.32,8.64,NA,-0.87,8.3,NA,NA,8.69,2.96,NA,-9.76,-9.81,8.98,-0.19,-9.66,NA,NA,-9.56,-0.44,5.24,-9.37,-0.39,8.98,-9.56,-0.68,-9.32,-9.42,NA,4.03,NA,NA,NA,NA,-8.83,-9.37,-9.22,NA,9.08,-9.56,NA,-9.76,-9.32,-9.56,-0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,NA,NA
"u6800",6.31,9.08,3.64,-0.53,0.58,1.41,0,-1.75,-0.58,-0.05,6.36,2.72,-1.02,8.98,-3.4,-0.58,-1.65,-0.19,-1.5,-0.29,0.39,4.51,0.19,-0.87,4.47,5.05,5.29,6.41,4.56,-0.63,4.13,1.31,-0.53,-0.58,0.73,2.82,5,3.35,2.09,4.9,1.75,0.15,0.1,-0.92,9.03,2.23,-0.68,5.78,5.1,3.16,3.64,1.41,2.77,-0.29,-1.31,5.97,-0.87,-0.87,-1.41,1.17,6.75,0.24,1.75,5.39,6.21,3.5,-2.23,1.02,7.04,-0.58,9.08,3.45,0.83,-7.43,-9.42,1.46,-1.55,6.41,4.32,0.58,7.14,6.6,7.43,2.91,2.48,-2.14,3.5,5.58,4.9,-2.28,-3.01,1.31,0.34,-0.19,0.97,3.88,-0.63,7.14,-0.1,2.43
"u14786",6.36,6.26,5.15,-0.83,5.29,6.31,-5.63,-6.36,6.21,-7.72,5.49,-6.5,6.21,5.68,4.47,-7.04,-6.84,6.36,3.5,-5.68,6.89,6.31,6.5,-6.31,-6.41,6.7,6.17,-5.44,-7.14,5.87,6.46,4.95,5.44,5.92,6.75,5.68,5.19,7.57,-6.31,5.83,-6.5,-7.38,7.09,-6.41,5.73,-5.58,6.02,6.07,6.8,6.46,5.39,5.39,6.5,6.89,-6.41,6.99,-6.99,-7.23,-6.65,5.44,-6.5,5.92,6.31,7.38,6.8,7.14,-6.02,7.43,7.62,6.21,NA,5.73,NA,NA,NA,NA,NA,NA,-5.05,NA,NA,NA,NA,NA,-5.63,NA,-5.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u22451",NA,NA,NA,NA,5.68,0.05,-3.79,2.23,NA,5.19,-2.23,2.28,2.86,-4.76,-4.51,-1.12,-1.46,-2.04,3.35,-4.51,0.39,NA,NA,NA,NA,-0.92,-3.88,-2.23,-3.64,NA,-0.83,2.09,NA,NA,-3.4,1.84,-5.83,NA,-3.06,4.08,NA,5.34,NA,NA,NA,2.91,1.07,0.44,6.31,-0.83,NA,-3.64,-9.51,3.64,NA,-4.22,NA,NA,-8.11,NA,2.23,4.61,NA,NA,-4.03,-0.83,NA,2.48,-4.76,NA,NA,NA,-3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u13881",NA,NA,NA,NA,6.89,-1.5,8.4,4.32,NA,5.92,2.57,4.51,2.04,6.99,5.1,5.19,-4.08,2.62,9.13,6.5,8.25,4.81,1.94,NA,0.78,3.11,3.98,5.63,7.91,3.35,3.64,5,NA,3.64,7.86,6.75,NA,5.44,4.66,3.01,6.02,5,NA,NA,-1.84,2.96,4.13,2.77,6.36,4.47,5.83,0.68,-0.34,7.52,NA,5.73,NA,-4.17,4.66,NA,6.65,5.24,5.97,NA,-0.44,2.09,NA,5.63,6.07,0.68,NA,NA,NA,NA,-5.1,NA,NA,NA,NA,NA,NA,NA,NA,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.99,NA,NA
"u19349",NA,NA,NA,NA,0.78,NA,-5.83,-9.17,NA,NA,NA,3.3,-9.9,6.75,-2.28,-9.85,-4.03,-8.25,2.33,2.09,5.19,-2.67,2.72,NA,-0.34,-4.51,4.08,0.1,2.86,NA,6.5,2.91,NA,-1.65,0.97,3.4,NA,-5.44,3.06,-4.81,NA,-4.08,NA,NA,NA,8.83,-0.58,-3.79,-3.88,3.54,NA,NA,1.89,1.55,3.5,4.08,NA,NA,NA,NA,3.93,4.66,NA,NA,3.5,0.58,NA,1.17,1.89,-0.49,NA,NA,NA,NA,-8.16,NA,NA,-0.58,NA,NA,NA,NA,2.23,NA,NA,NA,NA,-6.46,NA,-9.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u7277",NA,NA,NA,NA,-4.9,-0.49,-8.11,-7.67,NA,NA,NA,-3.93,-4.03,-5.58,-6.46,2.77,0,-6.99,6.99,-8.3,-0.39,-5.53,NA,NA,-2.82,-4.13,-7.38,3.5,-6.8,1.07,2.43,8.35,-8.16,-1.55,-6.94,-0.29,-1.21,-8.25,-5.78,-1.21,NA,7.48,-4.22,-2.82,-6.89,6.21,-0.73,7.23,7.82,-0.92,NA,-5.19,7.48,5.97,7.28,-9.32,NA,NA,NA,-8.4,4.27,4.03,-6.26,NA,-9.22,-9.47,NA,6.75,8.11,5.1,NA,NA,5.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32,NA,NA,NA,NA,NA,NA
"u21497",2.67,2.62,-5,-6.02,-2.96,-0.63,5.68,0.44,-7.67,6.12,1.21,-0.63,1.55,1.89,-0.97,-0.78,-1.8,-8.2,-8.3,-1.36,-0.44,-3.64,2.86,-5.49,2.82,2.04,-5.87,1.31,0.92,-4.51,-2.04,2.23,-5.78,-3.45,-4.08,3.11,1.17,1.31,0,0.73,-5.78,0.83,-7.91,1.6,-4.03,1.55,3.98,-1.07,3.83,-4.66,-6.5,-5,-2.57,1.89,-7.23,1.75,2.18,1.31,-5.83,6.6,0.39,2.91,-0.73,-5.44,-1.5,1.5,-7.67,-4.42,1.36,-7.67,NA,NA,NA,-4.13,NA,NA,NA,-4.17,-8.01,-8.35,-8.93,-6.65,-5.34,-2.67,-8.16,5.97,-9.51,7.18,5.58,6.65,-3.16,7.18,5.15,5.92,3.64,0.63,7.57,0.92,-1.07,-5.19
"u20703",3.83,4.66,7.33,-1.36,3.16,6.07,7.86,0,1.99,5.29,7.72,-0.19,-6.31,-9.47,-8.88,-4.08,-9.13,8.64,8.45,7.77,-6.6,-2.86,7.67,7.43,-6.99,2.38,7.14,6.17,-3.06,2.91,1.8,8.11,4.22,-4.32,6.94,8.11,3.5,7.48,-1.6,6.41,2.38,-3.2,3.06,5.49,5.34,-1.36,7.04,7.86,7.57,-1.84,0,-5.44,1.7,4.95,6.21,0.97,7.33,-0.29,0.24,8.2,1.46,8.01,2.96,5.24,8.69,7.09,4.42,7.52,6.36,6.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,8.11,NA,NA,NA
"u20267",2.67,2.72,7.72,-7.09,2.43,4.08,4.51,2.09,6.6,-2.23,-0.05,-2.43,1.65,5.92,1.55,-2.33,-2.28,2.23,3.83,-4.9,-3.54,-0.83,-6.55,-7.09,-5.44,3.06,3.54,3.64,6.89,2.77,6.7,4.71,-6.02,0.1,-0.78,3.5,3.06,3.79,-2.23,1.89,-6.7,-2.28,2.67,-3.01,5.83,-3.3,-0.44,7.72,3.16,7.96,3.01,-5.63,2.96,-0.73,2.57,5.73,-2.96,-7.52,3.54,-5.92,2.86,0.39,2.62,-6.02,7.04,-1.6,-7.48,1.65,2.57,5.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,-0.49,-6.8,-7.04,2.91,2.91,7.14,-6.55,-5.53,1.94
"u1746",NA,4.08,NA,NA,2.38,4.71,1.75,-2.43,NA,4.32,2.91,4.08,4.03,9.22,-3.06,-1.55,2.43,-0.29,-0.44,-2.28,8.59,7.77,1.41,NA,5.78,4.13,6.6,7.62,9.03,NA,7.67,5.44,4.76,7.72,7.91,3.5,-1.41,3.88,6.99,0.39,0.63,7.04,3.2,NA,1.65,7.28,4.56,3.54,7.52,9.27,3.79,5.53,9.03,-3.45,3.25,8.88,NA,NA,1.46,0.68,7.04,4.51,3.83,NA,9.03,7.77,5.1,0.78,6.7,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8,NA,NA,9.17,NA,NA,NA,NA,NA,5.63,NA,NA
"u15105",NA,NA,NA,NA,-1.8,NA,-4.51,-1.5,NA,NA,-5.87,-0.58,-8.98,4.13,-2.82,-9.42,-6.94,-1.46,-3.01,-1.02,-6.17,NA,1.99,NA,-4.17,-3.5,1.99,2.62,0.83,NA,3.64,-0.49,NA,-5.92,2.52,1.8,NA,NA,5.92,-4.22,NA,-6.8,NA,NA,NA,-0.92,NA,3.4,7.52,1.84,NA,-4.08,0.92,6.12,NA,-0.19,NA,NA,NA,NA,0.53,4.42,NA,NA,-9.17,3.79,-4.76,6.26,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u12364",NA,NA,NA,NA,1.02,NA,-5.87,-3.16,NA,NA,NA,NA,-5.68,-1.99,-5.49,-7.23,-0.63,1.31,-0.83,-5,4.42,NA,NA,NA,NA,3.06,3.25,2.18,4.22,NA,0.15,4.42,NA,NA,4.9,2.86,NA,-1.31,1.89,NA,NA,1.5,NA,NA,NA,-3.54,1.21,1.89,4.03,4.03,NA,NA,3.54,2.09,NA,3.74,NA,NA,NA,NA,3.25,3.45,2.77,NA,5.19,6.26,NA,0.05,3.06,-2.77,NA,NA,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u1596",5.29,3.06,8.79,8.88,8.4,4.22,2.57,0.24,4.32,8.93,5.29,2.96,0.15,4.22,4.85,3.4,-7.86,6.65,7.28,5.49,7.14,6.17,4.71,7.14,1.89,8.11,7.62,6.31,8.74,3.74,3.93,8.25,4.9,5.29,6.21,6.89,1.6,7.62,4.22,5.58,8.5,4.9,4.32,5.58,4.47,3.06,4.42,7.52,5.24,6.94,4.22,3.35,7.28,7.14,8.01,7.23,0.63,-4.61,4.42,8.79,8.35,6.21,5.34,0.73,8.4,6.31,4.13,8.74,5.83,4.51,5,8.88,8.3,-6.17,3.74,3.25,4.51,2.96,1.5,6.26,3.74,2.57,0.53,0.44,-2.57,-0.34,5.78,1.5,3.35,4.42,7.33,2.57,4.32,-2.57,6.41,2.57,3.16,2.77,-8.2,7.91
"u5426",NA,NA,NA,NA,1.31,NA,-3.88,1.41,NA,NA,NA,-5,-9.08,3.2,-8.25,-3.11,-0.73,-2.91,2.14,1.89,4.13,NA,NA,NA,NA,1.02,4.42,NA,1.84,NA,0.97,4.47,NA,NA,5.15,4.47,NA,NA,NA,NA,NA,1.94,NA,NA,NA,2.96,NA,0.97,1.12,6.02,NA,NA,3.3,3.79,NA,0.68,NA,NA,NA,NA,3.01,2.96,NA,NA,4.37,5.24,NA,4.66,4.9,NA,1.36,NA,NA,1.26,NA,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32,NA,NA,NA,NA,NA,NA
